LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,ICON_STR,COLOR,PYCOLOR,lat,long,APT_CLUST
Spruce Village,Apartment,"1046 Spruce St, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.990298,-117.3323351,0
Stella at Towngate,Apartment,"12881 Frederick St, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.9329177,-117.261496,3
Stone Canyon Apartments,Apartment,"5100 Quail Run Rd, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9576167,-117.3195636,0
Summer Meadows,Apartment,"3429 Rustin Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9809061,-117.335848,0
Sunnymead Apts,Apartment,"13325 Heacock St, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.9289883,-117.243845,3
Sycamore Canyons,Apartment,"600 Central Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9533531,-117.326657,0
Terrace Oak Apartment Homes,Apartment,"1925 E Washington St, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.0484898,-117.294377,5
The Aspens Riverside,Apartment,"7955 Magnolia Ave, Riverside, CA 92504",house-chimney,house,#F49ECB,pink,33.9378847,-117.4181055,1
The District Apartment Homes,Apartment,"1316 S Meadow Ln, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.0467429,-117.2994554,5
The Hawthorne,Apartment,"9170 Indiana Ave, Riverside, CA 92503",house-chimney,house,#F49ECB,pink,33.91774523913044,-117.4352429,1
The Highlands at Grand Terrace,Apartment,"11750 Mount Vernon Ave, Grand Terrace, CA 92313",house-chimney,house,#F49ECB,pink,34.0392111,-117.3153357,5
The Hills at Quail Run Apartment Homes,Apartment,"5059 Quail Run Rd, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9597005,-117.3208743,0
The James Apartments,Apartment,"7600 Ambergate Pl, Riverside, CA 92504",house-chimney,house,#F49ECB,pink,33.943419,-117.4162693,1
The Met Apartments,Apartment,"2770 Atlanta Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.98750800671141,-117.343974,0
The Newport,Apartment,"3516 Banbury Dr, Riverside, CA 92505",house-chimney,house,#F49ECB,pink,33.9046894,-117.4622914,1
The Overlook at Rancho Belago,Apartment,"12963 Moreno Beach Dr, Moreno Valley, CA 92555",house-chimney,house,#F49ECB,pink,33.933293,-117.176091,6
The Timbers,Apartment,"1175 W Blaine St, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9839605,-117.3369306,0
Trails at Canyon Crest,Apartment,"5377 Quail Run Rd, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9585087,-117.3203501,0
Trails at Grand Terrace,Apartment,"1699 E Washington St, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.048495,-117.300554,5
University Crest Apts,Apartment,"3170 Canyon Crest Dr, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9841457,-117.3301851,0
University Riverside Gardens,Apartment,"3996 Iowa Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9739366,-117.3399868,0
University Village Apartments,Apartment,"257 W Big Springs Rd, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.975763,-117.316682,0
University Village Towers,Apartment,"3500 Iowa Ave, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9697967,-117.339867,0
Veranda Riverside,Apartment,"6195 Pegasus Dr, Riverside, CA 92503",house-chimney,house,#F49ECB,pink,33.9441087,-117.4500673,1
Villa Annette Apartments,Apartment,"14400 Lasselle, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.911813,-117.208855,6
Villa Camille Apartments,Apartment,"13068 Edgemont St, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.93025538594657,-117.2832997,3
Village West Apartments,Apartment,"8040 Magnolia Ave, Riverside, CA 92504",house-chimney,house,#F49ECB,pink,33.9348486,-117.4184945,1
Villas at Columbia,Apartment,"3573 Columbia Ave, Riverside, CA 92501",house-chimney,house,#F49ECB,pink,34.0044204,-117.3568104,2
Villas at Towngate,Apartment,"13120 Day St, Moreno Valley, CA 92553",house-chimney,house,#F49ECB,pink,33.9297965,-117.277516,3
Vista Imperio,Apartment,"5880 Lochmoor Dr, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9453756,-117.3016323,4
Vista Springs Apartments,Apartment,"21550 Box Springs Rd, Moreno Valley, CA 92557",house-chimney,house,#F49ECB,pink,33.946664,-117.2859254,4
Windcrest Apartments,Apartment,"933 Fairway Dr, Colton, CA 92324",house-chimney,house,#F49ECB,pink,34.0687022,-117.3109402,5
Windemere at Sycamore Highlands,Apartment,"5925 Sycamore Canyon Blvd, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.9435786,-117.3012899,4
WINDWOOD,Apartment,"1120 W Linden St, Riverside, CA 92507",house-chimney,house,#F49ECB,pink,33.979272,-117.335631,0
Sephora,Beauty,"2061 Galleria at Tyler, Riverside, CA 92503",spray-can-sparkles,spray,#000000,black,33.9098266,-117.4569875,99
Sephora,Beauty,"19260 Van Buren Boulevard, Riverside, CA 92508",spray-can-sparkles,spray,#000000,black,33.889133650000005,-117.3273057,99
Sephora,Beauty,"12506 N Mainstreet, Rancho Cucamonga, CA 91739",spray-can-sparkles,spray,#000000,black,34.11202649,-117.5321321,99
Sephora,Beauty,"27200 Eucalyptus Ave, Moreno Valley, CA 92555",spray-can-sparkles,spray,#000000,black,33.9383256,-117.1876774,99
Sephora,Beauty,"27540 W Lugonia Ave, Redlands, CA 92374",spray-can-sparkles,spray,#000000,black,34.07311115,-117.2028114,99
Sephora,Beauty,"3520 Tyler St, Riverside, CA 92503",spray-can-sparkles,spray,#000000,black,33.90629485,-117.4598545,99
Sephora,Beauty,"14960 Summit Ave, Fontana, CA 92336",spray-can-sparkles,spray,#000000,black,34.14976876576587,-117.4726277,99
