LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,COLOR
A Home for Darker Days,Historical,"1450 Kennesaw Trace Ct, Kennesaw, GA 30144",fa-home,beige
Six Flags Over Georgia,Historical,"275 Riverside Pkwy, Austell, GA 30168",fa-home,beige
Georgia Aquarium,Historical,"225 Baker St NW, Atlanta, GA 30313",fa-home,beige
Fernbank Museum,Historical,"156 Heaton Park Dr, Atlanta, GA 30307",fa-home,beige
Hotel Indigo - DTLA,Historical,"899 Francisco St, Los Angeles, CA 90017",fa-home,beige
CalTech,Historical,"1200 E California Blvd, Pasadena, CA 91125",fa-home,beige
Abbey,Social,"692 N Robertson Blvd, West Hollywood, CA 90069",fa-users,purple
SD Zoo,Social,"2920 Zoo Drive, San Diego, CA 92101",fa-users,purple
AMC,Social,"3775 Tyler St, Riverside, CA 92503",fa-users,purple
Six Flags Magic Mountain,Social,"26101 Magic Mountain Pkwy, Valencia, CA 91355",fa-users,purple
Disneyland,Social,"1150 Magic Way, Anaheim, CA 92802",fa-users,purple
Riverside Art Museum,Social,"3425 Mission Inn Avenue, Riverside, CA 92501",fa-users,purple
Blondie's Bar,Social,"540 Valencia St, San Francisco, CA 94110",fa-users,purple
T.J. Maxx,Store,"12625 Frederick St, Moreno Valley, CA 92553",fa-shopping-cart,red
T.J. Maxx,Store,"17144 Slover Ave, Fontana, CA 92337",fa-shopping-cart,red
T.J. Maxx,Store,"27651-D W San Bernardino Ave, Redlands, CA 92374",fa-shopping-cart,red
T.J. Maxx,Store,"277 E 40th St, San Bernardino, CA 92404",fa-shopping-cart,red
T.J. Maxx,Store,"390 N McKinley St, Corona, CA 92879",fa-shopping-cart,red
T.J. Maxx,Store,"2500 E Imperial Hwy, Brea, CA 92821",fa-shopping-cart,red
Marshalls,Store,"3635 Riverside Plaza Dr, Riverside, CA 92506",fa-shopping-cart,red
Marshalls,Store,"2676 Canyon Springs Pkwy, Riverside, CA 92507",fa-shopping-cart,red
Marshalls,Store,"741 W 2nd St, San Bernardino, CA 92410",fa-shopping-cart,red
Marshalls,Store,"1635 W Lugonia Ave, Redlands, CA 92374",fa-shopping-cart,red
Marshalls,Store,"15022 Summit Ave, Fontana, CA 92336",fa-shopping-cart,red
Marshalls,Store,"2459 Tuscany St, Corona, CA 92881",fa-shopping-cart,red
Macy's,Store,"22400 Town Cir, Moreno Valley, CA 92553",fa-shopping-cart,red
Macy's,Store,"400 Inland Center Dr, San Bernardino, CA 92408",fa-shopping-cart,red
Macy's,Store,"3500 Tyler St, Riverside, CA 92503",fa-shopping-cart,red
Macy's,Store,"7855 Kew Ave, Rancho Cucamonga, CA 91739",fa-shopping-cart,red
Moreno Valley Mall,Store,"22500 Town Cir, Moreno Valley, CA 92553",fa-shopping-cart,red
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"University of California, Riverside",Work,"900 University Ave. Riverside, CA 92521",fa-briefcase,darkblue
